artist_followers,artist_id,artist_image_url,artist_name,artist_popularity,artist_rank,related_artists_ids,related_artists_names
3549578.0,7c0XG5cIJTrrAgEC3ULPiq,https://i.scdn.co/image/38c4d40a0baf5c1a31bb5b09ac07a32d5d11d7e0,Ty Dolla $ign,91.0,1.0,"['6KZDXtSj0SzGOV705nNeh3', '2jku7tDXc6XoB6MO2hFuqg', '19Fi1Rj7kk8kyiwxpXy3yM', '5oNgAs7j5XcBMzWv3HAnHG', '6vXTefBL93Dj5IqAWq6OTv', '67nwj3Y5sZQLl72VNUHEYE', '3KV3p5EY4AvKxOlhGHORLg', '4tMm1dU6Gn04VAZ9ClHcIZ', '17lzZA2AlOHwCwFALHttmp', '7ibAWtDtmEfaVhc1FJ3Vl9', '5OrB6Jhhrl9y2PK0pSV4VP', '5bgfj5zUoWpyeVatGDjn6H', '7mDU6nMUJnOSY2Hkjz5oqM', '0YinUQ50QDB7ZxSCLyQ40k', '0NWbwDZY1VkRqFafuQm6wk', '0f5nVCcR06GX8Qikz0COtT', '6d47Z08T4snK50HgTEHo5Z', '0399oiMcmbOzzsYQDNYqxn', '2EMAnMvWE2eb56ToJVfCWs', '2iojnBLj0qIMiKPvVhLnsH']","['Kid Ink', 'Tory Lanez', 'August Alsina', 'DJ Drama', 'French Montana', 'Wale', 'Jeremih', 'Jacquees', '2 Chainz', 'Eric Bellinger', 'Young Money', 'K CAMP', 'Roy Woods', 'Mustard', 'Mike WiLL Made-It', 'Omarion', 'Sage The Gemini', 'Problem', 'Bryson Tiller', 'Trey Songz']"
140.0,0cePXkZbB6Ehoy4EiKLIc1,https://i.scdn.co/image/36e9ea8aed73dca55a0b120fba4dab486e92e2cf,Tapri Grams,27.0,2.0,"['5JPm0OhnoxswDh5mxZ0JYs', '2y3cNK7s1jzciV78v3Xei3', '4JxatpbcAgr7UWnIngnNPD', '0zQy47x2qJQ6J3pvjBwDZ5', '1Vh6MAxEaUJusA1hwzrLhm', '63FIRo90iuMjz2byQS6nmz', '1l61CX1j6go8arTjPH9wy0', '1yNU9PktV7cr5dZQPtkXpi', '6T4tcUkLcppayRBkcjXR0V', '0YZQkExXWIRxmnW08hept7', '5u2OAxF8Fz7s7BwusF0w7h', '6cUpFVxDYWed9WxtC4QgC5', '1m3X5E8NvaHIKLTk1xf2af', '1yI0tX9OnfOx9siPj8KNOO', '5a9jbP96ZRy1Olan4epgKg', '2Xs5d841h62itOX9RuPjk2', '1n5X8uMaNKFI4BAXFpD2AZ', '1tpd6NCdH7JbXu272XTkSs', '5cArDHkqduJNS4bIuR1mnU', '1pWm8RcyiWZehSnb38i4fM']","['Gotdamnitdupri', 'Siete Gang Yabbie', 'Spank Nitti James', 'Johnny Rose', 'Coot Corleone', 'Zoe Osama', 'BlueBucksClan', 'YHG Pnut', 'Ketchy the Great', ""O'Way"", 'GoGetta.Kb', 'Wallie the Sensei', '88thagang', 'Ralfy the Plug', 'ComptonAsstg', 'Saviii 3rd', 'JpThaRuler', 'Young Who', 'Kt Foreign', 'Young Slo-Be']"
122643.0,0p4ViyfJUTW0IT4SCBLexf,https://i.scdn.co/image/b90f063ef39b7350b70d8b8b27f6d6505a546804,Drakeo the Ruler,60.0,3.0,"['2TImI3DW7o5MdRXJs4D37h', '0FtsMKmZEq8fBWqdSOWtqp', '1cutd8e41XvxXnFPOFIxMD', '3DiSC0nSNNWpPy5ZK3mcrz', '1R4jDezcLcFxrJ9PHNrbG0', '2Bb57H1EnnHxtpSyOAJF8l', '7q836WTO8OHUS85E2RyxxA', '6fqjJNsLs7g6F3PXy01Xnw', '3tqosLbNFNekyZyO2KJ6qd', '5ULJ18n8PZ9rJv5kYsZByV', '0dT2U2jUx6OmKlyeQOH8AK', '6vCAhgYcKSL1curqoT6eNu', '0jkqzWx5N4y8CmFFiUCkRz', '4Q2hTDZYFCohf17D5GvkIb', '31t9hT68QYCDPWkkUVrQjY', '4tYSBptyGeVyZsk8JC4JHZ', '1l61CX1j6go8arTjPH9wy0', '3RNcvKfUnyALZxATNSO8PS', '33YOw3idBhwSFkYkktqssV', '3P7mWw117EiOJGINzst7JK']","['SOB X RBE', '03 Greedo', 'ALLBLACK', 'Nef The Pharaoh', 'DaBoii', 'Frostydasnowmann', 'Rucci', 'AzChike', 'Mike Sherm', 'Lil Pete', 'ShooterGang Kony', '1takejay', 'MemoTheMafioso', 'G Perico', 'Bravo the Bagchaser', 'Shoreline Mafia', 'BlueBucksClan', 'Capolow', 'Peso Da Goon', 'Bravo Tha Locc']"
469.0,0788Kk8S8NrmerJNFwNMrC,https://i.scdn.co/image/ab67616d0000b273c427ae1bc330d8af7535a950,Gudda Mack,18.0,4.0,"['7vDy8i8XeT4KIHiHHyK68E', '5a9jbP96ZRy1Olan4epgKg', '1q2nUylEqrRJkiDkXa39Mw', '1rTam66Dd9o4YSuNQSLdxd', '1aQRe18EFgH0nxSm9bmo4v', '25xbdVYkezCt9cguS5SXRN', '1TNh3LHenKgcPEBeFlfqJK', '4JxatpbcAgr7UWnIngnNPD', '2Xs5d841h62itOX9RuPjk2', '1rT1XsORFeR5RUQRQNuZ6R', '38AzwuDc0OKXF7Yx7SsrOf', '6wrQP6EAQRd8GLl9tilJdH', '7DaLbUpK6lANHXSYOPh7RQ', '4ZdF7XtdWwvhE0ezhTNLtk', '5u2OAxF8Fz7s7BwusF0w7h', '0zQy47x2qJQ6J3pvjBwDZ5', '70LeECrcNFIOvGZqe8byzQ', '3MeyqB6fA2aj1NZq6ztjRk', '6CPTMFjo7Sq3ACuzHsXVkt', '4ifWa8uYjvbxB4ouf9XbW5']","['Teeezy', 'ComptonAsstg', 'YoungThreat', 'Blue Ragg$', 'DW FLAME', 'DA Bully', 'FT HopOut', 'Spank Nitti James', 'Saviii 3rd', 'TTB FREDO', 'Jooba Loc', 'Conradfrmdaaves', 'Ayoomeco', 'Nfant', 'GoGetta.Kb', 'Johnny Rose', 'Trucarr', 'Celly Ru', 'Big Sad 1900', 'Compton Av']"
50701765.0,3TVXtAsR1Inumwj472S9r4,https://i.scdn.co/image/60cfab40c6bb160a1906be45276829d430058005,Drake,100.0,5.0,"['0c173mlxpT3dSFRgMO8XPh', '6l3HvQ5sa6mXTsMTB19rO5', '67nwj3Y5sZQLl72VNUHEYE', '3KV3p5EY4AvKxOlhGHORLg', '1sBkRIssrMs1AbVkOJbc7a', '20sxb77xiYeusSH8cVdatc', '0QHgL1lAIqAw0HtD7YldmP', '17lzZA2AlOHwCwFALHttmp', '2jku7tDXc6XoB6MO2hFuqg', '2HPaUgqeutzr3jx5a9WyDV', '6vXTefBL93Dj5IqAWq6OTv', '2EMAnMvWE2eb56ToJVfCWs', '7c0XG5cIJTrrAgEC3ULPiq', '50co4Is1HCEo8bhOyUWKpn', '5LHRHt1k9lMyONurDHEdrp', '360IAlyVv4PCEVjgyMZrxK', '4IVAbR2w4JJNJDDRFP3E83', '7rkW85dBwwrJtlHRDkJDAC', '1RyvyyTE3xzB2ZywiAwp0i', '5IcR3N7QB1j6KBL8eImZ8m']","['Big Sean', 'J. Cole', 'Wale', 'Jeremih', 'Rick Ross', 'Meek Mill', 'DJ Khaled', '2 Chainz', 'Tory Lanez', 'PARTYNEXTDOOR', 'French Montana', 'Bryson Tiller', 'Ty Dolla $ign', 'Young Thug', 'Tyga', 'Miguel', '6LACK', 'NAV', 'Future', 'ScHoolboy Q']"
52787436.0,66CXWjxzNUsdJxJ2JdwvnR,https://i.scdn.co/image/f8c793519d837ca2f920c561535fe62ef32e8e5b,Ariana Grande,99.0,6.0,"['4nDoRrQiYLoBzwC5BhVJzF', '1l8Fu6IkuTP0U5QetQJ5Xt', '0C8ZW7ezQVs4URX5aX7Kqx', '2wUjUUtkb5lvLKcGKsKqsR', '6S2OmqARrzebs0tKUEyXyp', '5ZsFI1h6hIdQRw2ti0hz81', '5p7f24Rk5HkUZsaS3BLG5F', '1o2NpYGqHiCq7FoiYdyd1x', '1Xylc3o4UrD53lo9CvFvVg', '0ZED1XzwlLHW4ZaG4lOT6m', '2kRfqPViCqYdSGhYSM9R0Q', '0AsThoR4KZSVktALiNcQwW', '5YGY8feqx7naU7z4HrwZM6', '26VFTg2z8YR0cCuwLzESi2', '3e7awlrlDSwF3iM0WBjGMp', '6dJeKm76NjfXBNTpHmOhfO', '1BhWF9W2PngtPSyobKg0rP', '1uNFoZAHBGtllmzznpCI3s', '0hCNtLu0JehylgoiP8L4Gh', '64M6ah0SkkRsnPGtGiRAbb']","['Camila Cabello', 'Fifth Harmony', 'Selena Gomez', 'Alessia Cara', 'Demi Lovato', 'ZAYN', 'Hailee Steinfeld', 'Bea Miller', 'Zara Larsson', 'Julia Michaels', 'Madison Beer', 'Chloe x Halle', 'Miley Cyrus', 'Halsey', 'Little Mix', 'Selena Gomez & The Scene', 'Pia Mia', 'Justin Bieber', 'Nicki Minaj', 'Bebe Rexha']"
50713.0,6fqjJNsLs7g6F3PXy01Xnw,https://i.scdn.co/image/b77c990634cb5b4b3b533e3403a33c8bcb9eb262,AzChike,58.0,7.0,"['2Bb57H1EnnHxtpSyOAJF8l', '4y5IK8VBswkl40ltpHI5o9', '5cArDHkqduJNS4bIuR1mnU', '3tqosLbNFNekyZyO2KJ6qd', '0dT2U2jUx6OmKlyeQOH8AK', '47TMF0JlFsz01KilGzc5Ly', '33YOw3idBhwSFkYkktqssV', '08jCyIC4E6iQjr4nrd1yDA', '6wrQP6EAQRd8GLl9tilJdH', '1zrPF8R0QgYR6BPVelfVr0', '0BfxMYdkqRuwPXsSwEf5RE', '16Nc36xAtNyQ7BMBcDsaLv', '7vepnwRvKefoPW3f6Gl4bn', '5zQfnouqTKWoY16rdwUrwt', '6aZZ6qx9EC5lE3PISBrosR', '0h0C8mMT21p0Ixq6qO1UMH', '07l5dehvaI0bMl8JDwKh82', '6kQWPGBItT0oMCHZy3M9DN', '2aqdy2BLMhGFHhRb1ZbDCF', '6QI41kOWTHVyegc7LHdBD4']","['Frostydasnowmann', 'Almighty Suspect', 'Kt Foreign', 'Mike Sherm', 'ShooterGang Kony', 'Kalan.FrFr', 'Peso Da Goon', 'Vinny West', 'Conradfrmdaaves', 'Shootergang JoJo', 'Slimmy B', 'Likybo', 'BOE Sosa', 'Salsalino', 'Lil Sheik', '$tupid Young', 'Robbioso', 'RJMrLA', 'MBNel', 'G-Bo Lean']"
2567.0,7jun6jJ4LOAQfx5gSs6mJX,https://i.scdn.co/image/07059d9ae335d2f412bbf7e74489d5faeff5c932,Zae France,28.0,8.0,"['60jDnkxR5FyCUAGUX4zDNv', '0ftnVnpLz9yBbw8jCO9uXo', '0W6ygO3cS60iJHYUU281cp', '6TrQLQR8tUluPbmdPy6jqY', '7t7KCNFOwuMChaQg6L8I69', '5kmcKvoT2hRuXOGnjcXc8e', '6vZUJpsm4VHjSWpedp05vg', '4z9qdU7fZTF4fY5PTviqtL', '1sXjt6XF2hUgabKoaksNu3', '4U6sGpoCZvYkwmwB3VtRTW', '0Maq4Nk8ZM6keGZjTCXGIH', '2FcXBEz4zZpJGNO8CSrchU', '6EcOx4ckQkF54MS9mKPHhj', '5AzjednUL6MFJP0dBic3be', '756t7CBmWLNYsshVtS6P44', '2tKtLcxl6T2VdJdguRrXCq', '6WnCnGe06iOO6fTPYAPF03', '4p07QU02SrLsaORo25h2Lg', '78ujnVz1JjrhzAc6mBC2GL', '4kFWTKFddUzdFcWTDD2ikE']","['Jermaine Elliott', 'Chris Echols', '7AE', 'ELHAE', 'Jacob Latimore', 'MIKExANGEL', 'Trevor Jackson', 'Damar Jackson', 'Nieman J', 'Elliott Trent', 'Ye Ali', 'Jayla Darden', 'K-Major', 'Kenyon Dixon', 'Tone Stith', 'Mishon', 'Gemaine', 'Sammie', 'Marr Grey', 'Chrystian Lehr']"
549.0,04nzvlu1tO3DOzCSwL03yo,https://i.scdn.co/image/b675b59d945cbd80a06bfe63018ffe6b5d780842,Reem Riches,30.0,9.0,"['5e9vDUJB6zI9MPxL7WaL3k', '1yXXcC1S1PBbXlHWXlvYrU', '5zYCHW2U4mdc3Ke9iahsqH', '3mRjszdezNsQGp7SeL1ffX', '0xG8uG9nzLyuwoVIPF0xiM', '4Maf38TSoYT83qXqsO20JI', '1RXEL1MwAvaMsn7KAHe0g5', '54QA4zjZDOyaLN8bVthBjP', '1TNh3LHenKgcPEBeFlfqJK', '2i7sobfajSkxTTl7CYFitk', '1JhNLx2aikUAHfnzuwVw4q', '6kQWPGBItT0oMCHZy3M9DN', '474hvxrh0fWrSOcRDr4E64', '33VENhd4NxUxZztcOX7KP2', '4Q2hTDZYFCohf17D5GvkIb', '7vDy8i8XeT4KIHiHHyK68E', '2Xs5d841h62itOX9RuPjk2', '3xS4uqr3q6umIa74qTP62H', '0R4yXxa1YyORYIzlE3LfmB', '0IgLirgKCxQb13uM8FuQpR']","['Mike Wayne', 'TeeCee4800', 'Freddie Slappareli', 'Lil Bro PushazInk', 'Steelz', 'AD', 'Slim 400', 'Joe Moses', 'FT HopOut', 'D.Loc', 'Airplane James', 'RJMrLA', 'Slumlord Trill', 'Pacman da Gunman', 'G Perico', 'Teeezy', 'Saviii 3rd', 'Mitch', 'Niko G4', 'Yelohill']"
3137631.0,3Fl1V19tmjt57oBdxXKAjJ,https://i.scdn.co/image/6924d354dc0667e20868cc9d10c3117249fa6373,Blueface,79.0,10.0,"['1cNDP5yjU5vjeR8qMf4grg', '4Ga1P7PMIsmqEZqhYZQgDo', '7meyrw7Or5DwteYxDJrkCM', '392I9I5QMSyoA0FmI5pVfx', '3M1quhETLChtt9NHKVaajX', '1iJdyDcY98X3GMnUesl7tf', '757aE44tKEUQEqRuT6GnEB', '0huGjMyP507tBCARyzSkrv', '4r63FhuTkUYltbVAg5TQnk', '3gGUMEwIX6XodWsYEvKSal', '2HUwZ0kumzCSlhFcjFZfpp', '4TEJudQY2pXxVHPE3gD2EU', '44IvvHRk2XF243QLA2VOa8', '2HWXxzgBIr0RMSZmvMZeJU', '4IprNlQiJZUUJhDl0fL2SL', '5zctI4wO9XSKS8XwcnqEHk', '46SHBwWsqBkxI7EeeBEQG7', '0WOxhx4hikIsyF3CRPLC8W', '0ceH34CATvfgphxnLRWFkm', '6WkUZyqghQei2G809wMKuZ']","['YNW Melly', 'Lil Tecca', 'YK Osiris', 'Yung Tory', 'Quin Nfn', 'Comethazine', 'Roddy Ricch', 'Cordae', 'DaBaby', 'YBN Nahmir', 'Flipp Dinero', 'BlocBoy JB', 'Stunna 4 Vegas', 'YBN Almighty Jay', 'Quando Rondo', 'Lil Mosey', 'Kodak Black', 'Famous Dex', '9lokknine', 'Yung Bans']"
71490.0,2Bb57H1EnnHxtpSyOAJF8l,https://i.scdn.co/image/ab67616d0000b273d1629df6d0e0a81342ab22da,Frostydasnowmann,58.0,11.0,"['5cArDHkqduJNS4bIuR1mnU', '6fqjJNsLs7g6F3PXy01Xnw', '3tqosLbNFNekyZyO2KJ6qd', '4y5IK8VBswkl40ltpHI5o9', '33YOw3idBhwSFkYkktqssV', '0dT2U2jUx6OmKlyeQOH8AK', '7vepnwRvKefoPW3f6Gl4bn', '08jCyIC4E6iQjr4nrd1yDA', '0BfxMYdkqRuwPXsSwEf5RE', '0h0C8mMT21p0Ixq6qO1UMH', '5zQfnouqTKWoY16rdwUrwt', '1zrPF8R0QgYR6BPVelfVr0', '47TMF0JlFsz01KilGzc5Ly', '16Nc36xAtNyQ7BMBcDsaLv', '6aZZ6qx9EC5lE3PISBrosR', '07l5dehvaI0bMl8JDwKh82', '2dEmIfxJxjxQi7nvogEr2Q', '6QI41kOWTHVyegc7LHdBD4', '6wrQP6EAQRd8GLl9tilJdH', '2Xs5d841h62itOX9RuPjk2']","['Kt Foreign', 'AzChike', 'Mike Sherm', 'Almighty Suspect', 'Peso Da Goon', 'ShooterGang Kony', 'BOE Sosa', 'Vinny West', 'Slimmy B', '$tupid Young', 'Salsalino', 'Shootergang JoJo', 'Kalan.FrFr', 'Likybo', 'Lil Sheik', 'Robbioso', 'Stinc Team', 'G-Bo Lean', 'Conradfrmdaaves', 'Saviii 3rd']"
5659868.0,50co4Is1HCEo8bhOyUWKpn,https://i.scdn.co/image/69ef089edd03d6d5455ed61e96d27c7f5b995434,Young Thug,93.0,12.0,"['2hlmm7s2ICUX0LVIhVFlZQ', '3EW0kQ1skZiK1NHg3Spt9J', '4Gso3d4CscCijv0lmajZWs', '7rkW85dBwwrJtlHRDkJDAC', '1URnnhqYAYcrqrcwql10ft', '7yO4IdJjCEPz7YgZMe25iS', '6oMuImdp5ZcFhWP0ESe6mG', '699OTQXzgjhIYAHMy9RyPD', '0VRj0yCOv2FXJNP47XQnx5', '0WOxhx4hikIsyF3CRPLC8W', '6icQOAFXDZKsumw3YXyusw', '6extd4B6hl8VTmnlhpl2bY', '7iZtZyCzp3LItcw1wtPI3D', '0iEtIxbK0KxaSlF7G42ZOp', '46SHBwWsqBkxI7EeeBEQG7', '5dHt1vcEm9qb8fCyLcB3HL', '2I9SLklAOG0vdMiUUMNxRl', '5yPzzu25VzEk8qrGTLIrE1', '3x3jSlhyv5CiCZDZlaTq0M', '1pPmIToKXyGdsCF6LmqLmI']","['Gunna', 'Takeoff', 'Don Toliver', 'NAV', '21 Savage', 'A$AP Mob', 'Migos', 'Playboi Carti', 'Quavo', 'Famous Dex', 'Lil Yachty', 'Huncho Jack', 'Rae Sremmurd', 'Metro Boomin', 'Kodak Black', 'A$AP Ferg', '88GLAM', 'Young Nudy', 'Pi’erre Bourne', 'Rich The Kid']"
2383313.0,0A0FS04o6zMoto8OKPsDwY,https://i.scdn.co/image/bed9c38a2a9e469be77e2a6166cc71905849eb5b,YG,84.0,13.0,"['5IcR3N7QB1j6KBL8eImZ8m', '0YinUQ50QDB7ZxSCLyQ40k', '28ExwzUQsvgJooOI0X1mr3', '0NbfKEOTQCcwd6o7wSDOHI', '17lzZA2AlOHwCwFALHttmp', '7c0XG5cIJTrrAgEC3ULPiq', '20sxb77xiYeusSH8cVdatc', '13y7CgLHjMVRMDqxdx0Xdo', '0ONHkAv9pCAFxb0zJwDNTy', '6aaMZ3fcfLv4tEbmY7bjRM', '50co4Is1HCEo8bhOyUWKpn', '1RyvyyTE3xzB2ZywiAwp0i', '0Y5tJX1MQlPlqiwlOH1tJY', '5dHt1vcEm9qb8fCyLcB3HL', '7iZtZyCzp3LItcw1wtPI3D', '1URnnhqYAYcrqrcwql10ft', '5rOkxO8Va1CnXhF7nrHMrU', '6oMuImdp5ZcFhWP0ESe6mG', '5SXuuuRpukkTvsLuUknva1', '3XVpDdKav6C6zwlDXPhMEO']","['ScHoolboy Q', 'Mustard', 'Jay Rock', 'The Game', '2 Chainz', 'Ty Dolla $ign', 'Meek Mill', 'Gucci Mane', 'Pusha T', 'Isaiah Rashad', 'Young Thug', 'Future', 'Travis Scott', 'A$AP Ferg', 'Rae Sremmurd', '21 Savage', 'YGTUT', 'Migos', 'Baby Keem', 'Kamaiyah']"
4364242.0,1sBkRIssrMs1AbVkOJbc7a,https://i.scdn.co/image/83bb3369d1ae515bdee62238522a4f5da3544859,Rick Ross,83.0,14.0,"['5oNgAs7j5XcBMzWv3HAnHG', '31HjiqargV4NAw4GZqUale', '5OrB6Jhhrl9y2PK0pSV4VP', '35sCXuy5gN6Or69rZ9vqBs', '6AMa1VFQ7qCi61tCRtVWXe', '0YWxKQj2Go9CGHCp77UOyy', '4yBK75WVCQXej1p04GWqxH', '6Ha4aES39QiVjR0L2lwuwq', '45a6gCQWq61lIUDmr1tKuO', '6X8WdFjrNhXATMDSs26aCc', '6Uh8uJyN9g7oFjDK16nJgb', '67nwj3Y5sZQLl72VNUHEYE', '3ZooCJzNMTLpmJaIRUEorI', '3vDUJHQtqT3jFRZ2ECXDTi', '0tCtGc5vt29zFZp6KXzN50', '0st5vgzw9XkH5ALJiUM1lE', '0P8YNJXX7QeQ8iZIUCXJgi', '4pr7J7wzgObkE3DD3Izi7q', '0T5OJgMVjKIX3b3W3ekqOl', '5pnbUBPifNnlusY8kTBivi']","['DJ Drama', 'Ace Hood', 'Young Money', 'Birdman', 'Jim Jones', 'Fabolous', 'Jeezy', 'Yo Gotti', 'Bun B', 'Curren$y', 'Juelz Santana', 'Wale', 'Young Dro', 'Lloyd Banks', 'Beanie Sigel', 'Slim Thug', 'The Diplomats', 'Young Buck', 'Rocko', 'Jadakiss']"
906607.0,3ScY9CQxNLQei8Umvpx5g6,https://i.scdn.co/image/43b2c59d9442d43ab76577226b399000239ada51,Fat Joe,73.0,15.0,"['4GMgdB3vwbBOc42hbXEi9p', '2Xu7q46Hf02xOoEIm4E1Qs', '3vDUJHQtqT3jFRZ2ECXDTi', '0tCtGc5vt29zFZp6KXzN50', '4jWzNq3sdzSpqn7BnzvIKn', '0YWxKQj2Go9CGHCp77UOyy', '0A7g2YbCA9FlyZvAG6VmKP', '3WilJWdCNLSU7fpYjiKb7v', '6evKD5JWJON3qPBJtUEmtY', '6Uh8uJyN9g7oFjDK16nJgb', '2x8KDZdSONA3872CnhaAlX', '14ejEUaU0wE2iAenbbv9b8', '1g8uGVofjr2ApBrI8OZhJf', '5pnbUBPifNnlusY8kTBivi', '6AMa1VFQ7qCi61tCRtVWXe', '6KVPfr3ujUkKOrJf4QeRWD', '7HqrSDuI9lHuH1CDismTFg', '1wiBLzTI7z9RUwEpNPdFT6', '64ovxBmjJ9ZDqkzEXVWpVc', '49pQfWTLlSww8C7K7unpUC']","['N.O.R.E.', 'Big Pun', 'Lloyd Banks', 'Beanie Sigel', 'Memphis Bleek', 'Fabolous', 'The LOX', 'Cassidy', 'G-Unit', 'Juelz Santana', 'Styles P', 'Sheek Louch', 'DJ Clue', 'Jadakiss', 'Jim Jones', 'Capone-N-Noreaga', 'AZ', 'Mase', 'Shyne', 'Ruff Ryders']"
